ecmwf_u_front,ecmwf_u_late,ecmwf_v_front,ecmwf_v_late,ndbc_wdir,ndbc_wspeed,sar,station,ecmwf_wspeed_front,ecmwf_wspeed_late,ecmwf_wdir_late,ecmwf_wdir_front,scending
-1.9985742633437693,2.2463951220857297,-2.3919176243106577,-3.099688124955371,133,10.6,S1A_IW_GRDH_1SDV_20160110T221737_20160110T221806_009438_00DADC_26EB,44011,3.1169807518796184,3.82810103269492,144.06853666280634,-140.1194507363083,Ascending
10.479503553415325,6.840266100838207,-1.4511272972998377,3.451000077934779,211,10.2,S1A_IW_GRDH_1SDV_20160220T222648_20160220T222713_010036_00EC50_7340,44005,10.579497396332833,7.661503890763365,63.2284824404861,97.8837783052167,Ascending
9.98764922393919,5.926822346096812,-1.9585443023774327,2.4514103554857805,203,13.6,S1A_IW_GRDH_1SDV_20160220T222648_20160220T222713_010036_00EC50_7340,mism1,10.177869757706091,6.413784830595382,67.52938017235526,101.09472682067732,Ascending
10.239633708005778,13.440321241197774,-9.534955292355761,-6.647251649725334,266,6.6,S1A_IW_GRDH_1SDV_20160303T222648_20160303T222713_010211_00F13B_E990,44005,13.99162145361828,14.99427189167144,116.31586463616414,132.95909682574273,Ascending
9.226849916276596,12.16828418220777,-9.023182776504974,-6.375032226400442,291,8.6,S1A_IW_GRDH_1SDV_20160303T222648_20160303T222713_010211_00F13B_E990,mism1,12.905525436637962,13.737109442186592,117.65029476830324,134.36061576817923,Ascending
-1.2305061724869475,-2.972591211370407,-9.49575569539698,-9.957439837355992,86,12.4,S1A_IW_GRDH_1SDV_20160315T222648_20160315T222713_010386_00F634_A901,44005,9.575151260799622,10.391674870995567,-163.37807490128088,-172.6164795819602,Ascending
-0.4890902866756335,-2.558270569299374,-8.125947557226134,-8.62900905153053,94,15.2,S1A_IW_GRDH_1SDV_20160315T222648_20160315T222713_010386_00F634_A901,mism1,8.140653107172044,9.000252525187236,-163.48631733196822,-176.55559635789226,Ascending
2.912700248223352,3.300368685248877,5.217159696466663,7.203272609045057,156,3.2,S1A_IW_GRDH_1SDV_20160327T222648_20160327T222714_010561_00FB36_5B13,44005,5.975163431608921,7.92335596441244,24.616128245339755,29.17428808219184,Ascending
3.4869341205674123,3.8600649912044815,4.511566951208547,5.347825019662609,198,4.0,S1A_IW_GRDH_1SDV_20160327T222648_20160327T222714_010561_00FB36_5B13,mism1,5.702012444428233,6.5954025030510355,35.8217855198596,37.6999914571743,Ascending
-1.5357950666445532,6.1763839024319935,-0.4994481933560238,-1.1571303201089551,211,13.4,S1A_IW_GRDH_1SDV_20160401T223426_20160401T223455_010634_00FD56_3F9D,44020,1.6149659391381428,6.283841873244147,100.61121630910694,-108.014783097486,Ascending
-39.234127639645465,-39.234127639645465,-44.598994771988174,-44.598994771988174,209,13.2,S1A_IW_GRDH_1SDV_20160401T223426_20160401T223455_010634_00FD56_3F9D,buzm3,59.400228167203366,59.400228167203366,-138.66162743818788,-138.66162743818788,Ascending
1.7157739489070425,2.399039569164529,7.782555541880423,8.488148287138536,203,2.9,S1A_IW_GRDH_1SDV_20160420T222647_20160420T222714_010911_0105A7_C058,44005,7.969444836762579,8.820660530757886,15.782097566283385,12.43277835584489,Ascending
